0.20660	1.01000	2.90900
0.21010	1.08300	2.98200
0.21380	1.13300	3.04500
0.21750	1.18600	3.12000
0.22140	1.24700	3.20600
0.22540	1.34000	3.30200
0.22960	1.47100	3.36600
0.23390	1.57900	3.35300
0.23840	1.58900	3.35400
0.24310	1.57100	3.42900
0.24800	1.57000	3.56500
0.25300	1.59700	3.74900
0.25830	1.65800	3.97900
0.26380	1.76400	4.27800
0.26950	1.98800	4.67800
0.27550	2.45200	5.08200
0.28180	3.12000	5.34400
0.28830	4.08700	5.39500
0.29520	4.88800	4.63900
0.30240	5.02000	3.97900
0.31000	5.01000	3.58600
0.31790	5.01600	3.34600
0.32630	5.06500	3.18200
0.33510	5.15600	3.05800
0.34440	5.29600	2.98700
0.35420	5.61000	3.01400
0.36470	6.52200	2.70500
0.37570	6.70900	1.32000
0.38750	6.06200	0.63000
0.39990	5.57000	0.38700
0.41330	5.22200	0.26900
0.42750	4.96100	0.20300
0.44280	4.75300	0.16300
0.45920	4.58300	0.13000
0.47690	4.44200	0.09000
0.49590	4.32000	0.07300
0.51660	4.21500	0.06000
0.53910	4.12300	0.04800
0.56360	4.04200	0.03200
0.59040	3.96900	0.03000
0.61990	3.90600	0.02200
0.65250	3.84700	0.01600
0.68880	3.79600	0.01300
0.72930	3.75200	0.01000
0.77490	3.71400	0.00800
0.82660	3.67300	0.00500
