Data from USB2G569231__40__05-49-38-012.txt Node

Date: Thu Dec 14 05:49:38 BDT 2023
User: user
Spectrometer: USB2G56923
Scans to average: 1
Trigger mode: 4
Integration Time (sec): 1.000000E-1
Electric dark correction enabled: true
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 651
>>>>>Begin Spectral Data<<<<<
350	-1.37
351	-0.44
352	-0.4
353	0.54
354	1.67
355	1.62
356	1.26
357	1.45
358	1.59
359	0.51
360	0.52
361	1.6
362	1.02
363	0.71
364	1.56
365	1.99
366	2.54
367	1.6
368	1.51
369	2.59
370	2.55
371	1.47
372	0.63
373	1.57
374	2.65
375	1.53
376	1.61
377	2.58
378	2.38
379	1.89
380	3.56
381	2.51
382	3.42
383	1.57
384	2.64
385	1.64
386	0.82
387	0.31
388	0.65
389	1.9
390	2.68
391	2.57
392	1.57
393	0.4
394	1.58
395	1.58
396	1.52
397	2.59
398	2.58
399	2.58
400	2.58
401	2.6
402	3.66
403	3.6
404	4.67
405	4.71
406	5.55
407	4.01
408	4.77
409	6.36
410	8.99
411	13.74
412	17.52
413	18.84
414	22.78
415	30.78
416	38.35
417	52.13
418	66.85
419	75.7
420	97.44
421	110.17
422	142.34
423	174.12
424	204.36
425	239.86
426	274.28
427	320.85
428	358.24
429	426
430	508.32
431	573.94
432	653.98
433	741.5
434	846.45
435	1002.66
436	1126.17
437	1232.55
438	1474.57
439	1695.31
440	1943.43
441	2222.27
442	2581.32
443	2948.9
444	3312.86
445	3577.33
446	3826.96
447	3968.43
448	4019.01
449	3967.54
450	3974.82
451	4020.58
452	4005.72
453	3910.34
454	3730.48
455	3526.47
456	3313.22
457	3000.49
458	2606.94
459	2384.53
460	2153.83
461	1960.81
462	1867.84
463	1726.15
464	1638.9
465	1531.95
466	1495.12
467	1429.67
468	1317.34
469	1318.83
470	1212.86
471	1169.86
472	1109.33
473	1068.88
474	997.59
475	950.52
476	913.83
477	881.77
478	852.95
479	815.36
480	803.59
481	782.4
482	763.72
483	746.53
484	720.07
485	700.64
486	679.35
487	679.74
488	664.86
489	678.54
490	664.54
491	676.17
492	668.13
493	668.47
494	671.91
495	691.95
496	722.4
497	737.95
498	781.36
499	811.36
500	857.49
501	887.89
